Month,Alien abduction (alien_terms),Area 51 (conspiracy-adjacent),Men in Black (conspiracy-adjacent),NASA UFO (government_terms),Project Blue Book (conspiracy-adjacent),Roswell (conspiracy-adjacent),U.F.O. (UFO_keywords),UAP (government_terms),UFO (UFO_keywords),UFO Pentagon (government_terms),UFO conspiracy (conspiracy-adjacent),UFO disclosure (government_terms),UFO documentary (popular_culture),UFO sighting (UFO_keywords),UFO video (popular_culture),UFOs (UFO_keywords),alien encounter (alien_terms),alien movies (popular_culture),alien sightings (popular_culture),alien spacecraft (alien_terms),congress UFO (government_terms),contact with aliens (alien_terms),extraterrestrial (alien_terms),unidentified flying object (UFO_keywords)
2019-06,17,3,90,14,7,66,5,6,30,1,12,16,36,1,10,3,28,11,26,19,4,6,21,0
2019-07,22,100,39,10,7,70,5,5,27,1,12,9,34,1,6,3,37,15,34,15,3,6,25,0
2019-08,17,13,25,7,5,58,3,5,17,0,9,5,16,1,3,1,28,11,18,12,1,5,19,0
2019-09,22,70,29,15,6,56,5,9,32,1,11,7,14,1,19,3,28,10,24,15,1,5,24,0
2019-10,27,4,28,9,6,56,5,6,22,1,12,6,15,1,9,2,29,11,18,8,0,4,23,0
2019-11,17,3,22,10,5,50,4,5,16,0,7,4,13,0,3,1,31,9,12,12,1,4,18,0
2019-12,16,2,20,9,8,53,3,5,17,0,12,4,13,1,4,1,24,9,16,11,0,0,17,0
2020-01,18,2,22,9,42,56,5,6,19,0,7,6,13,1,4,2,26,10,17,15,1,4,17,0
2020-02,17,2,20,44,34,55,4,5,17,0,10,4,14,1,4,1,32,11,14,11,0,5,19,0
2020-03,15,2,19,24,32,51,4,4,16,0,10,2,11,0,2,1,24,11,15,7,0,3,19,0
2020-04,20,2,18,39,14,45,6,6,58,100,21,9,21,2,22,10,31,14,24,10,0,7,21,0
2020-05,18,2,24,56,9,53,4,6,46,44,19,17,28,2,20,7,33,15,25,11,1,5,21,0
2020-06,16,2,28,27,7,65,7,6,26,6,10,5,18,2,6,3,26,13,22,12,1,6,19,0
2020-07,24,2,21,28,7,62,12,6,46,52,17,18,37,2,9,6,37,13,23,49,1,6,17,0
2020-08,17,2,19,17,7,51,7,7,26,15,11,11,26,1,6,3,32,12,16,26,1,7,17,0
2020-09,15,2,18,14,6,48,6,8,33,6,10,5,21,2,5,2,30,12,26,11,1,6,20,0
2020-10,20,2,19,10,5,48,4,6,18,3,6,4,58,1,3,2,26,14,15,26,0,5,16,0
2020-11,14,2,18,8,4,44,5,5,16,2,6,4,22,0,3,1,27,11,12,13,0,4,14,0
2020-12,15,2,17,11,6,52,4,7,27,7,10,38,38,1,5,2,39,13,22,11,1,44,21,0
2021-01,16,2,16,10,7,48,5,7,37,5,10,43,41,1,7,3,44,15,27,18,2,17,21,0
2021-02,15,2,18,10,6,50,3,6,28,5,8,14,29,2,4,2,32,13,21,13,1,5,20,0
2021-03,14,2,15,8,10,53,3,6,21,3,7,14,22,1,4,2,30,13,14,11,1,5,16,0
2021-04,16,2,17,21,12,56,5,10,38,21,10,20,32,2,16,3,34,12,22,12,1,8,16,0
2021-05,18,2,18,19,11,56,6,30,59,18,19,50,53,2,17,9,37,14,31,18,8,9,18,0
2021-06,23,2,17,24,12,62,5,36,59,26,13,72,46,1,8,8,32,13,28,20,19,8,17,0
